id,bookname,category,genre,author,publisher,yearpublished,isbn,edition,price
258,About a Boy, fiction,,Nick Hornby,Penguin Group (USA) LLC,1998,,,2.99
259,On Dublin Street,nonfiction,,Samantha Young,Random House LLC,2012,,,10.91
260,Crazy Love: Overwhelmed by a Relentless God, fiction,,"Francis Chan, Danae Yankoski, Chris Tomlin",Macmillan,2008,,,2.99
261,"One Fish, Two Fish, Red Fish, Blue Fish",nonfiction,,Dr. Seuss,Simon and Schuster Digital Sales Inc,1960,,,1.99
262,Watchers, fiction,,Dean Koontz,"Amazon Digital Services,  Inc.",1987,,,2.99
263,The Story of My Life,nonfiction,,Helen Keller,"Amazon Digital Services,  Inc.",1902,,,0.99
264,This Is Where I Leave You, fiction,,Jonathan Tropper,"Amazon Digital Services,  Inc.",2009,,,0.99
265,Abraham Lincoln: Vampire Hunter, fiction,,Seth Grahame-Smith,"Amazon Digital Services,  Inc.",2010,,,0.99
266,ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,nonfiction,,"Natsuki Takaya, Alethea Nibley, Athena Nibley",Simon and Schuster Digital Sales Inc,1999,,,2.99
267,The Tempest, fiction,,William Shakespeare,"Amazon Digital Services,  Inc.",1623,,,2.99
268,Burned: A House of Night Novel, fiction,,"P.C. Cast, Kristin Cast","Amazon Digital Services,  Inc.",2010,,,2.99
269,Wizard and Glass,fiction,,"Stephen King, Dave McKean",Simon and Schuster Digital Sales Inc,1997,,,2.99
270,The Circle, fiction,,Dave Eggers,Penguin Group (USA) LLC,2013,,,11.39
271,The Invention of Hugo Cabret, fiction,,Brian Selznick,"Amazon Digital Services,  Inc.",2007,,,4.99
272,Brave New World/Brave New World Revisited, fiction,,"Aldous Huxley, Christopher Hitchens","Amazon Digital Services,  Inc.",1932,,,4.99
273,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1, fiction,,Bisco Hatori,HarperCollins Publishers,2003,,,1.99
274,The Good Girl, fiction,,Mary Kubica,Random House LLC,2014,,,7.99
275,"Fallen Too Far (Too Far, #1)", fiction,,Abbi Glines,Penguin Group (USA) LLC,2012,,,8.82
276,Landline, fiction,,Rainbow Rowell,"Amazon Digital Services,  Inc.",2014,,,3.99
277,Tempted,fiction,,"P.C. Cast, Kristin Cast",HarperCollins Publishers,2008,,,8.49
278,No Country for Old Men, fiction,,Cormac McCarthy,Simon and Schuster Digital Sales Inc,2005,,,4.99
279,Wolf Hall, fiction,,Hilary Mantel,Penguin Group (USA) LLC,2009,,,7.69
280,Howl's Moving Castle, fiction,,Diana Wynne Jones,"Amazon Digital Services,  Inc.",1986,,,2.99
281,Dreamcatcher, fiction,,"Stephen King, William Olivier Desmond","Amazon Digital Services,  Inc.",2001,,,4.99
282,Walden; or Life in the Woods,nonfiction,,Henry David Thoreau,Random House LLC,1854,,,6.49
283,The Remains of the Day,nonfiction,,Kazuo Ishiguro,Random House LLC,1989,,,5.99
284,The Best of Me, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2010,,,0.99
285,The Sense of an Ending, fiction,,Julian Barnes,"Amazon Digital Services,  Inc.",2011,,,0.99
286,A is for Alibi, fiction,,Sue Grafton,"Amazon Digital Services,  Inc.",1982,,,1.99
287,ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚, fiction,,"Sophocles, J.E. Thomas",Hachette Book Group,-430,,,7.99
288,Shanghai Girls,nonfiction,,Lisa See,Penguin Group (USA) LLC,2009,,,6.99
289,The Wind in the Willows, fiction,,"Kenneth Grahame, Gillian Avery",Penguin Group (USA) LLC,1908,,,33.86
290,To All the Boys I've Loved Before,nonfiction,,Jenny Han,"Amazon Digital Services,  Inc.",2014,,,1.99
291,Persepolis, fiction,,"Marjane Satrapi, Mattias Ripa",Random House LLC,2000,,,4.99
292,A Room with a View, fiction,,E.M. Forster,"Amazon Digital Services,  Inc.",1908,,,2.99
293,The DUFF: Designated Ugly Fat Friend, fiction,,Kody Keplinger,"Amazon Digital Services,  Inc.",2010,,,3.99
294,Lock and Key,nonfiction,,Sarah Dessen,"Amazon Digital Services,  Inc.",2008,,,2.99
295,Naked in Death, fiction,,J.D. Robb,HarperCollins Publishers,1995,,,6.01
296,The Chamber, fiction,,John Grisham,"Amazon Digital Services,  Inc.",1994,,,0.99
297,Midnight Sun (Partial Draft), fiction,,Stephenie Meyer,"Amazon Digital Services,  Inc.",2008,,,0.99
298,NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,nonfiction,,"Masashi Kishimoto, Katy Bridges",HarperCollins Christian Publishing,1999,,,0.99
299,The Unlikely Pilgrimage of Harold Fry, fiction,,Rachel Joyce,Hachette Book Group,2012,,,12.74
300,Every Day, fiction,,David Levithan,"Amazon Digital Services,  Inc.",2012,,,3.99
301,Xenocide, fiction,,Orson Scott Card,Simon and Schuster Digital Sales Inc,1991,,,5.99
302,The Merchant of Venice, fiction,,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine","Amazon Digital Services,  Inc.",1596,,,1.5
303,ShÅgun, fiction,,James Clavell,Hachette Book Group,1975,,,7.32
304,"Lover Awakened (Black Dagger Brotherhood, #3)", fiction,,J.R. Ward,Simon and Schuster Digital Sales Inc,2006,,,4.99
305,A Court of Thorns and Roses,nonfiction,,Sarah J. Maas,"Amazon Digital Services,  Inc.",2015,,,12.99
306,Chicka Chicka Boom Boom,fiction,,"Bill Martin Jr., John Archambault, Lois Ehlert",Simon and Schuster Digital Sales Inc,1989,,,3.99
307,Smile, fiction,,Raina Telgemeier,HarperCollins Publishers,2009,,,9.59
308, Animal Farm & 1984, fiction,,"George Orwell, Christopher Hitchens","Amazon Digital Services,  Inc.",1950,,,0.99
309,The Deep End of the Ocean, fiction,,Jacquelyn Mitchard,"Amazon Digital Services,  Inc.",1996,,,0.99
310,The Bonesetter's Daughter,nonfiction,,Amy Tan,"Amazon Digital Services,  Inc.",2001,,,0.99
311,"Angus, Thongs and Full-Frontal Snogging", fiction,,Louise Rennison,"Amazon Digital Services,  Inc.",1999,,,3.75
312,Mr. Penumbra's 24-Hour Bookstore, fiction,,Robin Sloan,Hachette Book Group,2012,,,6.49
313,When Breath Becomes Air, fiction,,"Paul Kalanithi, Abraham Verghese","Amazon Digital Services,  Inc.",2016,,,3.99
314,Maniac Magee, fiction,,Jerry Spinelli,"Amazon Digital Services,  Inc.",1990,,,2.99
315,Invisible Monsters, fiction,,Chuck Palahniuk,Simon and Schuster Digital Sales Inc,1999,,,2.99
316,"Twelfth Night; or, What You Will", fiction,,William Shakespeare,Penguin Group (USA) LLC,1601,,,5.99
317,Gathering Blue, fiction,,Lois Lowry,"Amazon Digital Services,  Inc.",2000,,,3.99
318,The Westing Game, fiction,,Ellen Raskin,"Amazon Digital Services,  Inc.",1978,,,3.99
319,Red Rising, fiction,,Pierce Brown,"Amazon Digital Services,  Inc.",2014,,,0.99
320,The Way of Shadows, fiction,,Brent Weeks,Random House LLC,2008,,,2.99
321,Walking Disaster, fiction,,Jamie McGuire,"Amazon Digital Services,  Inc.",2013,,,12.99
322,Words of Radiance, fiction,,Brandon Sanderson,HarperCollins Publishers,2014,,,2.99
323,Guess How Much I Love You, fiction,,"Sam McBratney, Anita Jeram","Amazon Digital Services,  Inc.",1988,,,2.99
324,The Fiery Cross, fiction,,Diana Gabaldon,Penguin Group (USA) LLC,2001,,,4.62
325,Night Shift, fiction,,"Stephen King, John D. MacDonald","Amazon Digital Services,  Inc.",1978,,,0.99
326,Jaws, fiction,,Peter Benchley,Simon and Schuster Digital Sales Inc,1974,,,4.99
327,The History of Love, fiction,,Nicole Krauss,"Amazon Digital Services,  Inc.",2005,,,3.99
328,Pippi LÃ¥ngstrump, fiction,,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn","Amazon Digital Services,  Inc.",1945,,,3.99
329,L'Ã©lÃ©gance du hÃ©risson, fiction,,"Muriel Barbery, Alison Anderson",Hachette Book Group,2006,,,6.99
330,Team of Rivals: The Political Genius of Abraham Lincoln, fiction,,"Doris Kearns Goodwin, Suzanne Toren","Amazon Digital Services,  Inc.",2005,,,2.99
331,Dead in the Family, fiction,,Charlaine Harris,"Amazon Digital Services,  Inc.",2010,,,6.15
332,La peste, fiction,,"Albert Camus, Stuart Gilbert","Amazon Digital Services,  Inc.",1947,,,3.99
333,The Reptile Room, fiction,,"Lemony Snicket, Brett Helquist",Simon and Schuster Digital Sales Inc,1999,,,4.99
334,Brain on Fire, fiction,,Susannah Cahalan,Hachette Book Group,2012,,,10.65
335,Wicked Lovely , fiction,,Melissa Marr,Simon and Schuster Digital Sales Inc,2007,,,4.99
336,Curious George, fiction,,H.A. Rey,"Amazon Digital Services,  Inc.",1941,,,0.99
337,Die unendliche Geschichte, fiction,,"Michael Ende, Ralph Manheim, Roswitha Quadflieg","Amazon Digital Services,  Inc.",1979,,,3.99
338,A Beautiful Mind, fiction,,Sylvia Nasar,Random House LLC,1998,,,6.49
339,The Jungle, fiction,,"Upton Sinclair, Earl Lee, Kathleen DeGrave",Random House LLC,1906,,,5.99
340,The Summoning, fiction,,Kelley Armstrong,"Amazon Digital Services,  Inc.",2008,,,1.99
341,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,nonfiction,,Oliver Sacks,Random House LLC,1985,,,4.99
342,Storm Island,fiction,,Ken Follett,"Amazon Digital Services,  Inc.",1978,,,2.99
343,The Blind Assassin,nonfiction,,Margaret Atwood,HarperCollins Christian Publishing,2000,,,7.99
344,Hollow City, fiction,,Ransom Riggs,Penguin Group (USA) LLC,2014,,,6.99
345,House of Sand and Fog, fiction,,Andre Dubus III,"Amazon Digital Services,  Inc.",1999,,,3.99
346,The Girl with All the Gifts, fiction,,M.R. Carey,Simon and Schuster Digital Sales Inc,2014,,,1.99
347,As I Lay Dying,nonfiction,,William Faulkner,HarperCollins Publishers,1930,,,1.99
348,Harold and the Purple Crayon, fiction,,Crockett Johnson,"Amazon Digital Services,  Inc.",1955,,,3.99
349,"Lover Eternal (Black Dagger Brotherhood, #2)",nonfiction,,J.R. Ward,Random House LLC,2006,,,10.65
350,Fool Moon , fiction,,Jim Butcher,Macmillan,2001,,,2.99
351,David and Goliath,nonfiction,,Malcolm Gladwell,Random House LLC,2011,,,10.91
352,é‹¼ã®éŒ¬é‡‘è¡“å¸« 1, fiction,,"Hiromu Arakawa, Akira Watanabe","Amazon Digital Services,  Inc.",2002,,,0.99
353,Guards! Guards!, fiction,,Terry Pratchett,"Amazon Digital Services,  Inc.",1989,,,4.99
354,The Year of Magical Thinking, fiction,,Joan Didion,"Amazon Digital Services,  Inc.",2005,,,3.99
355,We Need to Talk About Kevin, fiction,,Lionel Shriver,HarperCollins Publishers,2003,,,25.89
356,Rendezvous with Rama, fiction,,Arthur C. Clarke,"Amazon Digital Services,  Inc.",1973,,,6.47
357,The Queen of the Damned, fiction,,Anne Rice,"Amazon Digital Services,  Inc.",1988,,,0.99
358,The Age of Innocence, fiction,,"Edith Wharton, Maureen Howard","Amazon Digital Services,  Inc.",1920,,,5.26
359,The Selfish Gene, fiction,,Richard Dawkins,"Amazon Digital Services,  Inc.",1976,,,3.99
360,Year of Wonders: A Novel of the Plague, fiction,,Geraldine Brooks,"Amazon Digital Services,  Inc.",2001,,,0.99
361,The Black Echo,nonfiction,,Michael Connelly,"Amazon Digital Services,  Inc.",1992,,,5.69
362,Anthem, fiction,,Ayn Rand,"Amazon Digital Services,  Inc.",1938,,,4.99
363,Gabriel's Inferno, fiction,,Sylvain Reynard,Penguin Group (USA) LLC,2011,,,7.99
364,Cloudy with a Chance of Meatballs, fiction,,"Judi Barrett, Ron Barrett",Penguin Group (USA) LLC,1978,,,7.49
365,Major Pettigrew's Last Stand, fiction,,Helen Simonson,Simon and Schuster Digital Sales Inc,2010,,,2.99
366,Vision in White, fiction,,Nora Roberts,Random House LLC,2009,,,1.99
367,The Tenth Circle, fiction,,Jodi Picoult,"Amazon Digital Services,  Inc.",2006,,,17.98
368,The Throne of Fire,nonfiction,,Rick Riordan,"Amazon Digital Services,  Inc.",2011,,,9.44
369,Old Man's War, fiction,,John Scalzi,Macmillan,2005,,,5.99
370,Gerald's Game,fiction,,Stephen King,"Amazon Digital Services,  Inc.",1992,,,1.99
371,Two for the Dough,nonfiction,,Janet Evanovich,"Amazon Digital Services,  Inc.",1996,,,9.99
372,The Joy of Cooking,fiction,,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",Hachette Book Group,1931,,,8.59
373,The Forever War, fiction,,Joe Haldeman,"Amazon Digital Services,  Inc.",1974,,,0.99
374,Insomnia, fiction,,"Stephen King, Bettina Blanch Tyroller",Random House LLC,1994,,,10.65
375,Reading Lolita in Tehran: A Memoir in Books, fiction,,Azar Nafisi,"Amazon Digital Services,  Inc.",2003,,,4.99
376,The Blade Itself, fiction,,Joe Abercrombie,Random House LLC,2006,,,7.99
377,The Arctic Incident,nonfiction,,Eoin Colfer,"Amazon Digital Services,  Inc.",2002,,,2.99
378,The Shipping News, fiction,,Annie Proulx,"Amazon Digital Services,  Inc.",1993,,,5.99
379,äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•, fiction,,"Marie KondÅ, Cathy Hirano","Amazon Digital Services,  Inc.",2011,,,3.99
380,All the Bright Places, fiction,,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",HarperCollins Publishers,2015,,,1.99
381,DÃ©jÃ  Dead, fiction,,Kathy Reichs,Hachette Book Group,1997,,,4.99
382,The Alchemyst: The Secrets of The Immortal Nicholas Flamel, fiction,,Michael Scott,Penguin Group (USA) LLC,2007,,,7.99
383,The Marriage Plot, fiction,,Jeffrey Eugenides,Random House LLC,2011,,,5.12
384,Hija de la fortuna, fiction,,"Isabel Allende, Margaret Sayers Peden","Amazon Digital Services,  Inc.",1998,,,2.99
385,Luckiest Girl Alive, fiction,,Jessica Knoll,Simon and Schuster Digital Sales Inc,2015,,,9.56
386,"Crank (Crank, #1)", fiction,,Ellen Hopkins,"Amazon Digital Services,  Inc.",2004,,,3.99
387,The Raven Boys,nonfiction,,Maggie Stiefvater,"Amazon Digital Services,  Inc.",2012,,,0.99
388,I Am Legend and Other Stories, fiction,,Richard Matheson,"Amazon Digital Services,  Inc.",1954,,,2.99
389,Olive Kitteridge, fiction,,Elizabeth Strout,"Amazon Digital Services,  Inc.",2008,,,0.99
390,Not that Kind of Girl,nonfiction,,"Lena Dunham, Joana Avillez",Random House LLC,2014,,,5.99
391,Good to Great: Why Some Companies Make the Leap... and Others Don't, fiction,,James C. Collins,"Amazon Digital Services,  Inc.",2001,,,4.99
392,Fire, fiction,,Kristin Cashore,Penguin Group (USA) LLC,2009,,,11.99
393,En attendant Godot, fiction,,Samuel Beckett,Penguin Group (USA) LLC,1952,,,7.99
394,White Fang, fiction,,Jack London,Random House LLC,1906,,,8.39
395,Wolves of the Calla, fiction,,"Stephen King, Bernie Wrightson","Amazon Digital Services,  Inc.",2003,,,2.99
396,His Dark Materials, fiction,,Philip Pullman,"Amazon Digital Services,  Inc.",2000,,,2.99
397,The Edge of Never, fiction,,J.A. Redmerski,Simon and Schuster Digital Sales Inc,2012,,,2.99
398,Reconstructing Amelia,nonfiction,,Kimberly McCreight,"Amazon Digital Services,  Inc.",2013,,,0.99
399,The One Plus One, fiction,,Jojo Moyes,Hachette Book Group,2014,,,1.99
400,The Hours, fiction,,Michael Cunningham,HarperCollins Publishers,1998,,,2.5
401,Wallbanger,nonfiction,,Alice Clayton,"Amazon Digital Services,  Inc.",2012,,,9.49
402,Holidays on Ice, fiction,,David Sedaris,"Amazon Digital Services,  Inc.",1997,,,2.99
403,Desperation, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1996,,,0.99
404,Passion, fiction,,Lauren Kate,"Amazon Digital Services,  Inc.",2011,,,3.99
405,The Kill Order, fiction,,James Dashner,Random House LLC,2012,,,5.38
406,Angelfall, fiction,,Susan Ee,"Amazon Digital Services,  Inc.",2011,,,0.99
407,Empire Falls, fiction,,Richard Russo,"Amazon Digital Services,  Inc.",2001,,,2.99
408,I'll Give You the Sun, fiction,,Jandy Nelson,Simon and Schuster Digital Sales Inc,2014,,,2.99
409,Survivor, fiction,,Chuck Palahniuk,HarperCollins Publishers,1999,,,0.99
410,Shopaholic and Baby, fiction,,Sophie Kinsella,"Amazon Digital Services,  Inc.",2007,,,0.99
411,The Dark Tower, fiction,,Stephen King,"Amazon Digital Services,  Inc.",2004,,,3.99
412,Twilight Director's Notebook, fiction,,Catherine Hardwicke,HarperCollins Publishers,2009,,,8.99
413,Shopaholic Abroad, fiction,,Sophie Kinsella,Penguin Group (USA) LLC,2001,,,7.69
414,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character", fiction,,Richard Feynman,"Amazon Digital Services,  Inc.",1984,,,4.99
415,Linger, fiction,,Maggie Stiefvater,"Amazon Digital Services,  Inc.",2010,,,1.99
416,The Complete Anne of Green Gables Boxed Set, fiction,,L.M. Montgomery,Random House LLC,1908,,,7.99
417,A Portrait of the Artist as a Young Man,fiction,,"James Joyce, Seamus Deane",Random House LLC,1916,,,2.99
418,The Gathering Storm, fiction,,"Robert Jordan, Brandon Sanderson","Amazon Digital Services,  Inc.",2009,,,3.99
419,Middlemarch,nonfiction,,"George Eliot, Michel Faber","Amazon Digital Services,  Inc.",1871,,,0.99
420,Point of Retreat, fiction,,Colleen Hoover,"Amazon Digital Services,  Inc.",2012,,,0.99
421,The Partner, fiction,,John Grisham,"Amazon Digital Services,  Inc.",1997,,,3.99
422,The Hobbit and The Lord of the Rings, fiction,,J.R.R. Tolkien,"Amazon Digital Services,  Inc.",1973,,,0.99
423,Thoughtless, fiction,,S.C. Stephens,Penguin Group (USA) LLC,2009,,,5.99
424,Presumed Innocent, fiction,,Scott Turow,"Amazon Digital Services,  Inc.",1986,,,2.99
425,The Dark Half, fiction,,Stephen King,Macmillan,1989,,,2.99
426,Cleopatra: A Life, fiction,,Stacy Schiff,"Amazon Digital Services,  Inc.",2006,,,0.99
427,The World Is Flat: A Brief History of the Twenty-first Century, fiction,,Thomas L. Friedman,Hachette Book Group,2005,,,2.99
428,Steelheart, fiction,,Brandon Sanderson,Penguin Group (USA) LLC,2013,,,6.83
429,Voyage au centre de la Terre,nonfiction,,Jules Verne,Macmillan,1864,,,9.59
430,The Happiness Project, fiction,,Gretchen Rubin,"Amazon Digital Services,  Inc.",2009,,,0.99
431,The Man in the High Castle, fiction,,Philip K. Dick,Hachette Book Group,1962,,,12.74
432,Helter Skelter: The True Story of The Manson Murders, fiction,,"Vincent Bugliosi, Curt Gentry","Amazon Digital Services,  Inc.",1974,,,0.99
433,Inferno,fiction,,"Dante Alighieri, Anthony M. Esolen",Hachette Book Group,1320,,,1.99
434,Shadow of Night, fiction,,Deborah Harkness,"Amazon Digital Services,  Inc.",2012,,,6.98
435,Leaving Time,fiction,,Jodi Picoult,"Amazon Digital Services,  Inc.",2014,,,0.99
436,Moon Called, fiction,,Patricia Briggs,"Amazon Digital Services,  Inc.",2006,,,1.99
437,Blue Bloods, fiction,,Melissa de la Cruz,"Amazon Digital Services,  Inc.",2006,,,3.99
438,The Alienist, fiction,,Caleb Carr,HarperCollins Publishers,1994,,,6.99
439,Between the World and Me, fiction,,Ta-Nehisi Coates,"Amazon Digital Services,  Inc.",2015,,,2.99
440,Paradise Lost, fiction,,"John Milton, John      Leonard","Amazon Digital Services,  Inc.",1667,,,4.99
441,The Big Short: Inside the Doomsday Machine,fiction,,Michael   Lewis,Simon and Schuster Digital Sales Inc,2009,,,6.99
442,The Girl Who Loved Tom Gordon,nonfiction,,Stephen King,"Amazon Digital Services,  Inc.",1999,,,7.74
443, A Monster Calls , fiction,,"Patrick Ness, Jim Kay, Siobhan Dowd",Random House LLC,2011,,,10.65
444,Towers of Midnight,fiction,,"Robert Jordan, Brandon Sanderson","Amazon Digital Services,  Inc.",2010,,,1.99
445,The Day of the Jackal, fiction,,Frederick Forsyth,"Amazon Digital Services,  Inc.",1971,,,0.99
446,Rework, fiction,,"Jason Fried, David Heinemeier Hansson",Simon and Schuster Digital Sales Inc,2010,,,2.99
447,Attachments, fiction,,Rainbow Rowell,"Amazon Digital Services,  Inc.",2011,,,0.99
448,The Twilight Saga, fiction,,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",Penguin Group (USA) LLC,2005,,,9.49
449,Tell the Wolves I'm Home, fiction,,Carol Rifka Brunt,"Amazon Digital Services,  Inc.",2012,,,1.99
450,All Creatures Great And Small, fiction,,James Herriot,"Amazon Digital Services,  Inc.",1972,,,5.99
451,The Unbecoming of Mara Dyer,fiction,,Michelle Hodkin,Macmillan,2011,,,10.99
452,Three to Get Deadly, fiction,,Janet Evanovich,Hachette Book Group,1997,,,6.49
453,The Scarlet Pimpernel,fiction,,Emmuska Orczy,Hachette Book Group,1905,,,3.79
454,The Monster at the End of This Book, fiction,,"Jon Stone, Michael J. Smollin","Amazon Digital Services,  Inc.",1971,,,1.99
455,Tales of a Fourth Grade Nothing, fiction,,Judy Blume,Penguin Group (USA) LLC,1972,,,2.99
456,Shadow and Bone,fiction,,Leigh Bardugo,"Amazon Digital Services,  Inc.",2012,,,3.99
457,Het diner, fiction,,"Herman Koch, Sam Garrett","Amazon Digital Services,  Inc.",2009,,,4.99
458,Champion,nonfiction,,Marie Lu,Simon and Schuster Digital Sales Inc,2013,,,9.99
459,Contact, fiction,,Carl Sagan,Random House LLC,1985,,,7.99
460,Lola and the Boy Next Door, fiction,,Stephanie Perkins,"Amazon Digital Services,  Inc.",2011,,,3.99
461,White Teeth,fiction,,Zadie Smith,"Amazon Digital Services,  Inc.",1999,,,0.99
462,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History, fiction,,"Chris Kyle, Scott McEwen, Jim DeFelice",Macmillan,2012,,,12.74
463,My Horizontal Life: A Collection of One-Night Stands,nonfiction,,Chelsea Handler,Simon and Schuster Digital Sales Inc,2004,,,7.66
464,The Power of Six,fiction,,Pittacus Lore,Macmillan,2011,,,10.91
465,The Interestings, fiction,,Meg Wolitzer,HarperCollins Publishers,2013,,,7.99
466,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury, fiction,,Bill Watterson,"Amazon Digital Services,  Inc.",1988,,,0.99
467,People of the Book, fiction,,Geraldine Brooks,Penguin Group (USA) LLC,2008,,,7.69
468,The Secret Keeper, fiction,,Kate Morton,HarperCollins Publishers,2012,,,1.99
469,Better Homes & Gardens New Cook Book,nonfiction,,Better Homes and Gardens,"Amazon Digital Services,  Inc.",1953,,,0.99
470,"So Long, and Thanks for All the Fish", fiction,,Douglas Adams,HarperCollins Publishers,1984,,,11.89
471,Der Steppenwolf: ErzÃ¤hlung,fiction,,"Hermann Hesse, Basil Creighton","Amazon Digital Services,  Inc.",1927,,,4.99
472,The Surgeon,nonfiction,,Tess Gerritsen,Random House LLC,2001,,,10.99
473,The Girl You Left Behind, fiction,,Jojo Moyes,Random House LLC,2012,,,6.94
474,Royal Assassin,fiction,,Robin Hobb,"Amazon Digital Services,  Inc.",1996,,,0.99
475,Childhood's End, fiction,,Arthur C. Clarke,"Amazon Digital Services,  Inc.",1953,,,7.39
476, The Tale of Despereaux, fiction,,"Kate DiCamillo, Timothy Basil Ering",Penguin Group (USA) LLC,2004,,,6.99
477,"Animal, Vegetable, Miracle: A Year of Food Life", fiction,,"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser","Amazon Digital Services,  Inc.",2007,,,4.99
478,Heir of Fire, fiction,,Sarah J. Maas,Hachette Book Group,2014,,,0.99
479,The Sweetness at the Bottom of the Pie, fiction,,Alan Bradley,Penguin Group (USA) LLC,2009,,,10.65
480,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality, fiction,,Donald Miller,"Amazon Digital Services,  Inc.",2003,,,0.99
481,A Breath of Snow and Ashes,nonfiction,,Diana Gabaldon,Penguin Group (USA) LLC,2005,,,10.65
482,The Blood of Olympus, fiction,,Rick Riordan,"Amazon Digital Services,  Inc.",2014,,,0.99
483,Truly Madly Guilty, fiction,,Liane Moriarty,"Amazon Digital Services,  Inc.",2016,,,0.99
484,"Saga, Volume One", fiction,,"Brian K. Vaughan, Fiona Staples","Amazon Digital Services,  Inc.",2012,,,0.99
485,The Art of Fielding, fiction,,Chad Harbach,"Amazon Digital Services,  Inc.",2011,,,1.99
486,A Moveable Feast, fiction,,Ernest Hemingway,Penguin Group (USA) LLC,1964,,,4.99
487,Fablehaven, fiction,,Brandon Mull,Random House LLC,2006,,,9.02
488,The Wide Window, fiction,,"Lemony Snicket, Brett Helquist","Amazon Digital Services,  Inc.",2000,,,0.99
489,Grave Peril,nonfiction,,Jim Butcher,"Amazon Digital Services,  Inc.",2001,,,1.99
490,Einstein. His Life and Universe,nonfiction,,Walter Isaacson,"Amazon Digital Services,  Inc.",2007,,,1.99
491,Effortless, fiction,,S.C. Stephens,"Amazon Digital Services,  Inc.",2011,,,0.99
492,The Street Lawyer, fiction,,John Grisham,Random House LLC,1998,,,1.99
493,"Roll of Thunder, Hear My Cry",nonfiction,,Mildred D. Taylor,Hachette Book Group,1976,,,3.99
494,Pride and Prejudice and Zombies, fiction,,"Seth Grahame-Smith, Jane Austen","Amazon Digital Services,  Inc.",2009,,,3.82
495,Lets Explore Diabetes with Owls, fiction,,David Sedaris,Macmillan,2013,,,2.99
496,Ð˜Ð´Ð¸Ð¾Ñ‚,fiction,,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",Penguin Group (USA) LLC,1868,,,8.99
497,Dirk Gently's Holistic Detective Agency,nonfiction,,Douglas Adams,"Amazon Digital Services,  Inc.",1987,,,2.99
498,Rodrick Rules, fiction,,Jeff Kinney,"Amazon Digital Services,  Inc.",2008,,,2.99
499,Why Not Me?, fiction,,Mindy Kaling,Random House LLC,2015,,,9.99
500,Four: A Divergent Collection,fiction,,Veronica Roth,"Amazon Digital Services,  Inc.",2014,,,2.99
501,Modern Romance, fiction,,"Aziz Ansari, Eric Klinenberg","Amazon Digital Services,  Inc.",2015,,,0.99
502,The One and Only Ivan, fiction,,"Katherine Applegate, Patricia Castelao","Amazon Digital Services,  Inc.",2012,,,2.99
503,The Perfect Storm: A True Story of Men Against the Sea, fiction,,Sebastian Junger,Hachette Book Group,1997,,,3.99
504,Elantris, fiction,,Brandon Sanderson,Simon and Schuster Digital Sales Inc,2005,,,1.99
505,The Knife of Never Letting Go, fiction,,Patrick Ness,"Amazon Digital Services,  Inc.",2008,,,7.19
506,One Thousand White Women: The Journals of May Dodd, fiction,,Jim Fergus,"Amazon Digital Services,  Inc.",1998,,,2.99
507,Handle with Care,fiction,,Jodi Picoult,HarperCollins Publishers,2009,,,8.99
508,Song of Susannah, fiction,,"Stephen King, Darrel Anderson","Amazon Digital Services,  Inc.",2004,,,2.99
509,Reached, fiction,,Ally Condie,"Amazon Digital Services,  Inc.",2012,,,0.99
510,Midnight's Children,nonfiction,,Salman Rushdie,"Amazon Digital Services,  Inc.",1981,,,9.39
511,The Zombie Survival Guide: Complete Protection from the Living Dead, fiction,,Max Brooks,"Amazon Digital Services,  Inc.",2004,,,0.99
512,The Testament,nonfiction,,John Grisham,Random House LLC,1999,,,4.99
513,Murder at the Vicarage,nonfiction,,Agatha Christie,HarperCollins Publishing,1930,,,4.29
514,Among the Hidden , fiction,,Margaret Peterson Haddix,HarperCollins Publishers,1998,,,13.59
515,In Defense of Food: An Eater's Manifesto, fiction,,Michael Pollan,"Amazon Digital Services,  Inc.",2007,,,3.99
